epoch,object,rho,rho_err,PA,PA_err,ref
1992.0216,1,1.4,X,230.,X,Rep1993b
1998.14,1,1.44,0.01,215.4,1.0,none
1998.496,1,1.469,0.001,216.11,0.03,none
2003.136,1,1.481,0.003,213.4,0.5,none
2004.143,1,1.477,0.006,215.78,0.09,none
2010.0698,1,1.526,X,208.9,X,Msn2018a
2010.08,1,1.504,0.015,209.1,0.3,Jnn2014b
2010.08,1,1.523,0.001,209.3,0.3,Jnn2012
2014.2646,1,1.5124,0.0181,207.387,0.687,none
2014.3030,1,1.5440,0.0048,207.65,0.18,none
2015.001,1,1.541,X,207.165,X,Kpp2018m
2015.0277,1,1.5504,0.0007,207.1,X,Tok2015c
